output_type,alternative,criterion,metric,value,rank
criterion_weight,,C1_Adaptability,weight,0.442530616744,
criterion_weight,,C2_Financial,weight,0.290640190976,
criterion_weight,,C3_Simplicity,weight,0.043198613600,
criterion_weight,,C4_Provider_services,weight,0.079679753874,
criterion_weight,,C5_Implementation_approach,weight,0.143950824804,
local_alternative_weight,ERP_A,C1_Adaptability,local_weight,0.833333333333,
local_alternative_weight,ERP_A,C2_Financial,local_weight,0.166666666667,
local_alternative_weight,ERP_A,C3_Simplicity,local_weight,0.250000000000,
local_alternative_weight,ERP_A,C4_Provider_services,local_weight,0.750000000000,
local_alternative_weight,ERP_A,C5_Implementation_approach,local_weight,0.875000000000,
terminal,ERP_A,,final_weight,0.613731986293,1
local_alternative_weight,ERP_B,C1_Adaptability,local_weight,0.166666666667,
local_alternative_weight,ERP_B,C2_Financial,local_weight,0.833333333333,
local_alternative_weight,ERP_B,C3_Simplicity,local_weight,0.750000000000,
local_alternative_weight,ERP_B,C4_Provider_services,local_weight,0.250000000000,
local_alternative_weight,ERP_B,C5_Implementation_approach,local_weight,0.125000000000,
terminal,ERP_B,,final_weight,0.386268013707,2
qa_scalar,,,lambda_max,5.282416250053,
qa_scalar,,,CI,0.070604062513,
qa_scalar,,,CR,0.063039341530,
