output_type,alternative,criterion,metric,value,rank
criterion_weight,,ERP01,published_D2_weight,0.047900000000,
criterion_weight,,ERP02,published_D2_weight,0.054200000000,
criterion_weight,,ERP03,published_D2_weight,0.071100000000,
criterion_weight,,ERP04,published_D2_weight,0.063900000000,
criterion_weight,,ERP05,published_D2_weight,0.105700000000,
criterion_weight,,ERP06,published_D2_weight,0.052400000000,
criterion_weight,,ERP07,published_D2_weight,0.050700000000,
criterion_weight,,ERP08,published_D2_weight,0.095700000000,
criterion_weight,,ERP09,published_D2_weight,0.099500000000,
criterion_weight,,ERP10,published_D2_weight,0.072500000000,
criterion_weight,,ERP11,published_D2_weight,0.054000000000,
criterion_weight,,ERP12,published_D2_weight,0.088800000000,
criterion_weight,,ERP13,published_D2_weight,0.054200000000,
criterion_weight,,ERP14,published_D2_weight,0.047100000000,
criterion_weight,,ERP15,published_D2_weight,0.042300000000,
terminal,ERPsys1,,d_plus,0.032156127958,
terminal,ERPsys1,,d_minus,0.026784283182,
terminal,ERPsys1,,Ci,0.454429866780,3
terminal,ERPsys2,,d_plus,0.032563271867,
terminal,ERPsys2,,d_minus,0.029388019545,
terminal,ERPsys2,,Ci,0.474372993280,2
terminal,ERPsys3,,d_plus,0.021754971752,
terminal,ERPsys3,,d_minus,0.036858306236,
terminal,ERPsys3,,Ci,0.628838848487,1
terminal,ERPsys4,,d_plus,0.034713960247,
terminal,ERPsys4,,d_minus,0.028303257430,
terminal,ERPsys4,,Ci,0.449135307354,4
