NP_ID,input_group,record_type,row_id,col_id,value,value_l,value_m,value_u,direction,source_file,source_locator,notes
NP03,FAHP_PUBLISHED_NORMALIZED_WEIGHTS,scalar,ERP01,weight,0.0479,,,,benefit,NP03_Thanh_2022,"PDF p.8 (article p.8 of 12), Table 2",
NP03,FAHP_PUBLISHED_NORMALIZED_WEIGHTS,scalar,ERP02,weight,0.0542,,,,benefit,NP03_Thanh_2022,"PDF p.8 (article p.8 of 12), Table 2",
NP03,FAHP_PUBLISHED_NORMALIZED_WEIGHTS,scalar,ERP03,weight,0.0711,,,,cost,NP03_Thanh_2022,"PDF p.8 (article p.8 of 12), Table 2",ERP03 Cost: Table 1 explicitly says lower cost is generally considered.
NP03,FAHP_PUBLISHED_NORMALIZED_WEIGHTS,scalar,ERP04,weight,0.0639,,,,benefit,NP03_Thanh_2022,"PDF p.8 (article p.8 of 12), Table 2",ERP04 implementation time has no explicit direction statement; primary literal reconstruction does not add an unstated cost direction.
NP03,FAHP_PUBLISHED_NORMALIZED_WEIGHTS,scalar,ERP05,weight,0.1057,,,,benefit,NP03_Thanh_2022,"PDF p.8 (article p.8 of 12), Table 2",
NP03,FAHP_PUBLISHED_NORMALIZED_WEIGHTS,scalar,ERP06,weight,0.0524,,,,benefit,NP03_Thanh_2022,"PDF p.8 (article p.8 of 12), Table 2",
NP03,FAHP_PUBLISHED_NORMALIZED_WEIGHTS,scalar,ERP07,weight,0.0507,,,,benefit,NP03_Thanh_2022,"PDF p.8 (article p.8 of 12), Table 2",
NP03,FAHP_PUBLISHED_NORMALIZED_WEIGHTS,scalar,ERP08,weight,0.0957,,,,benefit,NP03_Thanh_2022,"PDF p.8 (article p.8 of 12), Table 2",
NP03,FAHP_PUBLISHED_NORMALIZED_WEIGHTS,scalar,ERP09,weight,0.0995,,,,benefit,NP03_Thanh_2022,"PDF p.8 (article p.8 of 12), Table 2",
NP03,FAHP_PUBLISHED_NORMALIZED_WEIGHTS,scalar,ERP10,weight,0.0725,,,,benefit,NP03_Thanh_2022,"PDF p.8 (article p.8 of 12), Table 2",
NP03,FAHP_PUBLISHED_NORMALIZED_WEIGHTS,scalar,ERP11,weight,0.0540,,,,benefit,NP03_Thanh_2022,"PDF p.8 (article p.8 of 12), Table 2",
NP03,FAHP_PUBLISHED_NORMALIZED_WEIGHTS,scalar,ERP12,weight,0.0888,,,,benefit,NP03_Thanh_2022,"PDF p.8 (article p.8 of 12), Table 2",
NP03,FAHP_PUBLISHED_NORMALIZED_WEIGHTS,scalar,ERP13,weight,0.0542,,,,benefit,NP03_Thanh_2022,"PDF p.8 (article p.8 of 12), Table 2",
NP03,FAHP_PUBLISHED_NORMALIZED_WEIGHTS,scalar,ERP14,weight,0.0471,,,,benefit,NP03_Thanh_2022,"PDF p.8 (article p.8 of 12), Table 2",
NP03,FAHP_PUBLISHED_NORMALIZED_WEIGHTS,scalar,ERP15,weight,0.0423,,,,benefit,NP03_Thanh_2022,"PDF p.8 (article p.8 of 12), Table 2",
NP03,TOPSIS_PUBLISHED_NORMALIZED_MATRIX,scalar,ERP01,ERPsys1,0.3763,,,,benefit,NP03_Thanh_2022,"PDF p.9 (article p.9 of 12), Table 3",
NP03,TOPSIS_PUBLISHED_NORMALIZED_MATRIX,scalar,ERP01,ERPsys2,0.4704,,,,benefit,NP03_Thanh_2022,"PDF p.9 (article p.9 of 12), Table 3",
NP03,TOPSIS_PUBLISHED_NORMALIZED_MATRIX,scalar,ERP01,ERPsys3,0.5644,,,,benefit,NP03_Thanh_2022,"PDF p.9 (article p.9 of 12), Table 3",
NP03,TOPSIS_PUBLISHED_NORMALIZED_MATRIX,scalar,ERP01,ERPsys4,0.5644,,,,benefit,NP03_Thanh_2022,"PDF p.9 (article p.9 of 12), Table 3",
NP03,TOPSIS_PUBLISHED_NORMALIZED_MATRIX,scalar,ERP02,ERPsys1,0.4704,,,,benefit,NP03_Thanh_2022,"PDF p.9 (article p.9 of 12), Table 3",
NP03,TOPSIS_PUBLISHED_NORMALIZED_MATRIX,scalar,ERP02,ERPsys2,0.5644,,,,benefit,NP03_Thanh_2022,"PDF p.9 (article p.9 of 12), Table 3",
NP03,TOPSIS_PUBLISHED_NORMALIZED_MATRIX,scalar,ERP02,ERPsys3,0.5644,,,,benefit,NP03_Thanh_2022,"PDF p.9 (article p.9 of 12), Table 3",
NP03,TOPSIS_PUBLISHED_NORMALIZED_MATRIX,scalar,ERP02,ERPsys4,0.3763,,,,benefit,NP03_Thanh_2022,"PDF p.9 (article p.9 of 12), Table 3",
NP03,TOPSIS_PUBLISHED_NORMALIZED_MATRIX,scalar,ERP03,ERPsys1,0.4549,,,,cost,NP03_Thanh_2022,"PDF p.9 (article p.9 of 12), Table 3",ERP03 explicit cost criterion.
