input_group,alternative,criterion,manager,value,value_low,value_high,direction,source_file,locator,note
manager_rating,SFT-3,CS,Mang-1,8,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!N5,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-4,RS,Mang-1,6,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!C6,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-4,IC,Mang-1,6,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!D6,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-4,SFR,Mang-1,9,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!E6,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-4,EU,Mang-1,9,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!F6,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-4,EIS,Mang-1,7,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!G6,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-4,SR,Mang-1,8,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!H6,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-4,PC,Mang-1,4,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!I6,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-4,F,Mang-1,7,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!J6,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-4,CMI,Mang-1,8,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!K6,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-4,QSS,Mang-1,8,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!L6,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-4,MSC,Mang-1,6,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!M6,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-4,CS,Mang-1,7,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!N6,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-5,RS,Mang-1,7,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!C7,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-5,IC,Mang-1,7,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!D7,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-5,SFR,Mang-1,8,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!E7,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-5,EU,Mang-1,7,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!F7,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-5,EIS,Mang-1,7,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!G7,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-5,SR,Mang-1,7,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!H7,1–9 alternative performance rating; public raw supplement
