NP_ID,configuration_or_branch,deleted_criterion,operation_type,status,baseline_winner_retained,exact_winner_set,baseline_top2_both_retained,baseline_top2_overlap_share,MARD,Kendall_tau_b,complete_weak_order,terminal_score_vector,baseline_recommendation_set_retained,baseline_A2_in_recommendation_set,exact_native_recommendation_set,top_Q_leader_set_SECONDARY,C1_acceptable_advantage,C2_acceptable_stability,native_solver_status,native_solver_objective,method_note
NP03,A_STRICT_EXPLICIT_DIRECTION,ERP01,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,YES,ERPsys3,YES,1,0,1,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,ERPsys1:Ci=0.464582796406312;ERPsys2:Ci=0.473811923345883;ERPsys3:Ci=0.621620241275738;ERPsys4:Ci=0.435956327800962,,,,,,,,,D2 normalized row removed; remaining weights renormalized; branch-specific PIS/NIS and Ci recomputed
NP03,A_STRICT_EXPLICIT_DIRECTION,ERP02,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,YES,ERPsys3,NO,0.5,1,0.333333333333333,ERPsys3 > ERPsys4 > ERPsys2 > ERPsys1,ERPsys1:Ci=0.453003527915737;ERPsys2:Ci=0.458418297918407;ERPsys3:Ci=0.619503706469587;ERPsys4:Ci=0.46031740093544,,,,,,,,,D2 normalized row removed; remaining weights renormalized; branch-specific PIS/NIS and Ci recomputed
NP03,A_STRICT_EXPLICIT_DIRECTION,ERP03,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,YES,ERPsys3,NO,0.5,1,0,ERPsys3 > ERPsys4 > ERPsys1 > ERPsys2,ERPsys1:Ci=0.436140262592792;ERPsys2:Ci=0.429708099079259;ERPsys3:Ci=0.658695407147759;ERPsys4:Ci=0.479566622829626,,,,,,,,,D2 normalized row removed; remaining weights renormalized; branch-specific PIS/NIS and Ci recomputed
NP03,A_STRICT_EXPLICIT_DIRECTION,ERP04,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,YES,ERPsys3,YES,1,0,1,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,ERPsys1:Ci=0.491229619780389;ERPsys2:Ci=0.510211765162287;ERPsys3:Ci=0.60324034798964;ERPsys4:Ci=0.479941777516918,,,,,,,,,D2 normalized row removed; remaining weights renormalized; branch-specific PIS/NIS and Ci recomputed
NP03,A_STRICT_EXPLICIT_DIRECTION,ERP05,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,YES,ERPsys3,YES,1,0,1,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,ERPsys1:Ci=0.423851028849581;ERPsys2:Ci=0.535505743757383;ERPsys3:Ci=0.623820842083213;ERPsys4:Ci=0.362754015003171,,,,,,,,,D2 normalized row removed; remaining weights renormalized; branch-specific PIS/NIS and Ci recomputed
NP03,A_STRICT_EXPLICIT_DIRECTION,ERP06,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,YES,ERPsys3,YES,1,0.5,0.666666666666667,ERPsys3 > ERPsys2 > ERPsys4 > ERPsys1,ERPsys1:Ci=0.453624042713662;ERPsys2:Ci=0.481566678803708;ERPsys3:Ci=0.623605276229728;ERPsys4:Ci=0.4553976990233,,,,,,,,,D2 normalized row removed; remaining weights renormalized; branch-specific PIS/NIS and Ci recomputed
NP03,A_STRICT_EXPLICIT_DIRECTION,ERP07,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,YES,ERPsys3,YES,1,0,1,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,ERPsys1:Ci=0.455563205470837;ERPsys2:Ci=0.475484266938071;ERPsys3:Ci=0.631179137288283;ERPsys4:Ci=0.447674216586495,,,,,,,,,D2 normalized row removed; remaining weights renormalized; branch-specific PIS/NIS and Ci recomputed
NP03,A_STRICT_EXPLICIT_DIRECTION,ERP08,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,YES,ERPsys3,NO,0.5,1,0.333333333333333,ERPsys3 > ERPsys4 > ERPsys2 > ERPsys1,ERPsys1:Ci=0.420680662638934;ERPsys2:Ci=0.446765782854764;ERPsys3:Ci=0.636199859254136;ERPsys4:Ci=0.468269727500674,,,,,,,,,D2 normalized row removed; remaining weights renormalized; branch-specific PIS/NIS and Ci recomputed
NP03,A_STRICT_EXPLICIT_DIRECTION,ERP09,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,YES,ERPsys3,NO,0.5,0.5,0.666666666666667,ERPsys3 > ERPsys1 > ERPsys2 > ERPsys4,ERPsys1:Ci=0.539753094130561;ERPsys2:Ci=0.496002785435267;ERPsys3:Ci=0.572117826481006;ERPsys4:Ci=0.414034476066013,,,,,,,,,D2 normalized row removed; remaining weights renormalized; branch-specific PIS/NIS and Ci recomputed
NP03,A_STRICT_EXPLICIT_DIRECTION,ERP10,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,YES,ERPsys3,YES,1,0,1,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,ERPsys1:Ci=0.441339298198872;ERPsys2:Ci=0.463522510770772;ERPsys3:Ci=0.647905969908958;ERPsys4:Ci=0.437502058508183,,,,,,,,,D2 normalized row removed; remaining weights renormalized; branch-specific PIS/NIS and Ci recomputed
NP03,A_STRICT_EXPLICIT_DIRECTION,ERP11,TERMINAL_POSTWEIGHT_DELETION,EXECUTED,YES,ERPsys3,YES,1,0.5,0.666666666666667,ERPsys3 > ERPsys2 > ERPsys4 > ERPsys1,ERPsys1:Ci=0.453791455177437;ERPsys2:Ci=0.480151439862717;ERPsys3:Ci=0.624631335591011;ERPsys4:Ci=0.454168636895676,,,,,,,,,D2 normalized row removed; remaining weights renormalized; branch-specific PIS/NIS and Ci recomputed
