scenario_id,implementation_branch,reduced_criterion,reduction_factor,weight_vector_low,weight_vector_high,terminal_rough_Y,terminal_Y_crisp,complete_weak_order,winner_set,baseline_winner_retained,baseline_top2_both_retained,MARD_vs_primary_reconstruction,Kendall_tau_b_vs_primary_reconstruction,source_comparison_status
S11,SOURCE_DEFINED_EQ31,EU,0.95,EIS=0.026131718061674;SR=0.052263436123348;CMI=0.0120607929515418;CS=0.0311570484581498;EU=0.0874;RS=0.0683444933920705;SFR=0.013065859030837;QSS=0.0321621145374449;F=0.0492482378854626;IC=0.0633191629955947;PC=0.304535022026432;MSC=0.160810572687225,EIS=0.0302201834862385;SR=0.0614477064220183;CMI=0.0130954128440367;CS=0.0402935779816514;EU=0.1216;RS=0.0946899082568807;SFR=0.0181321100917431;QSS=0.0433155963302752;F=0.0755504587155963;IC=0.0644697247706422;PC=0.349546788990826;MSC=0.191394495412844,"SFT-1=[0.79590715966124,0.910547759971531];SFT-2=[0.837868414759599,0.965686699525296];SFT-3=[0.828438915158757,0.939813469030806];SFT-4=[0.861297621107052,0.999995639963741];SFT-5=[0.849248512790936,0.984760761101695];SFT-6=[0.846408223318142,0.975088777112089]",SFT-1=0.853227459816385;SFT-2=0.901777557142447;SFT-3=0.884126192094781;SFT-4=0.930646630535396;SFT-5=0.917004636946315;SFT-6=0.910748500215116,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4,YES,YES,0,1,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
S12,SOURCE_DEFINED_EQ31,EU,0.85,EIS=0.026395154185022;SR=0.052790308370044;CMI=0.0121823788546255;CS=0.0314711453744493;EU=0.0782;RS=0.0690334801762115;SFR=0.013197577092511;QSS=0.0324863436123348;F=0.0497447136563877;IC=0.0639574889867841;PC=0.307605066079295;MSC=0.162431718061674,EIS=0.0306605504587156;SR=0.062343119266055;CMI=0.0132862385321101;CS=0.0408807339449541;EU=0.1088;RS=0.0960697247706422;SFR=0.0183963302752294;QSS=0.0439467889908257;F=0.076651376146789;IC=0.0654091743119266;PC=0.354640366972477;MSC=0.194183486238532,"SFT-1=[0.79626203544371,0.911246573493715];SFT-2=[0.836895240555453,0.965590480972912];SFT-3=[0.828723385005991,0.939823296893934];SFT-4=[0.861442270189074,0.999995506718998];SFT-5=[0.848880669031927,0.985035045424396];SFT-6=[0.847449355681762,0.976190378576217]",SFT-1=0.853754304468712;SFT-2=0.901242860764182;SFT-3=0.884273340949962;SFT-4=0.930718888454036;SFT-5=0.916957857228162;SFT-6=0.911819867128989,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4,YES,YES,0,1,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
S13,SOURCE_DEFINED_EQ31,EU,0.75,EIS=0.02665859030837;SR=0.0533171806167401;CMI=0.0123039647577093;CS=0.0317852422907489;EU=0.069;RS=0.0697224669603524;SFR=0.013329295154185;QSS=0.0328105726872247;F=0.0502411894273128;IC=0.0645958149779736;PC=0.310675110132159;MSC=0.164052863436123,EIS=0.0311009174311927;SR=0.0632385321100917;CMI=0.0134770642201835;CS=0.0414678899082569;EU=0.096;RS=0.0974495412844037;SFR=0.0186605504587156;QSS=0.0445779816513761;F=0.0777522935779816;IC=0.066348623853211;PC=0.359733944954128;MSC=0.19697247706422,"SFT-1=[0.796627514029163,0.911954227464247];SFT-2=[0.835924723347909,0.965491677102085];SFT-3=[0.829025169361203,0.939832460462589];SFT-4=[0.861608295387033,0.999995370785374];SFT-5=[0.848525678535017,0.985313419010427];SFT-6=[0.84852008611644,0.977309268446744]",SFT-1=0.854290870746705;SFT-2=0.900708200224997;SFT-3=0.884428814911896;SFT-4=0.930801833086203;SFT-5=0.916919548772722;SFT-6=0.912914677281592,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4,YES,YES,0,1,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
S14,SOURCE_DEFINED_EQ31,EU,0.65,EIS=0.0269220264317181;SR=0.0538440528634361;CMI=0.012425550660793;CS=0.0320993392070485;EU=0.0598;RS=0.0704114537444934;SFR=0.013461013215859;QSS=0.0331348017621145;F=0.0507376651982379;IC=0.065234140969163;PC=0.313745154185022;MSC=0.165674008810573,EIS=0.0315412844036697;SR=0.0641339449541284;CMI=0.0136678899082569;CS=0.0420550458715596;EU=0.0832;RS=0.0988293577981651;SFR=0.0189247706422018;QSS=0.0452091743119266;F=0.0788532110091743;IC=0.0672880733944954;PC=0.36482752293578;MSC=0.199761467889908,"SFT-1=[0.797003383309066,0.912670885389144];SFT-2=[0.834955964223016,0.965390200353702];SFT-3=[0.829343980534804,0.939840924392591];SFT-4=[0.861795283406394,0.999995232135961];SFT-5=[0.848182907908531,0.985595974603823];SFT-6=[0.849620456004283,0.978445859839318]",SFT-1=0.854837134349105;SFT-2=0.900173082288359;SFT-3=0.884592452463698;SFT-4=0.930895257771177;SFT-5=0.916889441256177;SFT-6=0.9140331579218,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4,YES,YES,0,1,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
S15,SOURCE_DEFINED_EQ31,EU,0.55,EIS=0.0271854625550661;SR=0.0543709251101322;CMI=0.0125471365638767;CS=0.032413436123348;EU=0.0506;RS=0.0711004405286344;SFR=0.013592731277533;QSS=0.0334590308370044;F=0.051234140969163;IC=0.0658724669603524;PC=0.316815198237885;MSC=0.167295154185022,EIS=0.0319816513761468;SR=0.0650293577981651;CMI=0.0138587155963303;CS=0.0426422018348624;EU=0.0704;RS=0.100209174311927;SFR=0.0191889908256881;QSS=0.0458403669724771;F=0.079954128440367;IC=0.0682275229357798;PC=0.369921100917431;MSC=0.202550458715596,"SFT-1=[0.797389443849389,0.913396714478086];SFT-2=[0.833988082726488,0.965285959491757];SFT-3=[0.829679555939125,0.939848651557653];SFT-4=[0.862002855629308,0.999995090743853];SFT-5=[0.847851751203671,0.985882807784781];SFT-6=[0.85075054213048,0.979600579233902]",SFT-1=0.855393079163738;SFT-2=0.899637021109123;SFT-3=0.884764103748389;SFT-4=0.93099897318658;SFT-5=0.916867279494226;SFT-6=0.915175560682191,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4,YES,YES,0,1,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
S16,SOURCE_DEFINED_EQ31,EU,0.45,EIS=0.0274488986784141;SR=0.0548977973568282;CMI=0.0126687224669604;CS=0.0327275330396476;EU=0.0414;RS=0.0717894273127753;SFR=0.013724449339207;QSS=0.0337832599118943;F=0.0517306167400881;IC=0.0665107929515418;PC=0.319885242290749;MSC=0.168916299559471,EIS=0.0324220183486238;SR=0.0659247706422018;CMI=0.0140495412844037;CS=0.0432293577981651;EU=0.0576;RS=0.101588990825688;SFR=0.0194532110091743;QSS=0.0464715596330275;F=0.0810550458715596;IC=0.0691669724770642;PC=0.375014678899083;MSC=0.205339449541284,"SFT-1=[0.797785507801791,0.914131885728914];SFT-2=[0.83302021411142,0.965178859417556];SFT-3=[0.830031656567459,0.939855602949764];SFT-4=[0.862230666101568,0.999994946582145];SFT-5=[0.847531627569592,0.986174017079236];SFT-6=[0.851910455675599,0.980773867023609]",SFT-1=0.855958696765353;SFT-2=0.899099536764488;SFT-3=0.884943629758611;SFT-4=0.931112806341857;SFT-5=0.916852822324414;SFT-6=0.916342161349604,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4,YES,YES,0,1,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
S17,SOURCE_DEFINED_EQ31,EU,0.35,EIS=0.0277123348017621;SR=0.0554246696035242;CMI=0.0127903083700441;CS=0.0330416299559471;EU=0.0322;RS=0.0724784140969163;SFR=0.0138561674008811;QSS=0.0341074889867841;F=0.0522270925110132;IC=0.0671491189427313;PC=0.322955286343612;MSC=0.170537444933921,EIS=0.0328623853211009;SR=0.0668201834862385;CMI=0.0142403669724771;CS=0.0438165137614679;EU=0.0448;RS=0.10296880733945;SFR=0.0197174311926606;QSS=0.047102752293578;F=0.0821559633027523;IC=0.0701064220183486;PC=0.380108256880734;MSC=0.208128440366972,"SFT-1=[0.798191397876026,0.914876574013037];SFT-2=[0.832051506721009,0.965068800972909];SFT-3=[0.830400065594692,0.939861737573289];SFT-4=[0.862478399691102,0.999994799623935];SFT-5=[0.847221979063996,0.986469704073583];SFT-6=[0.853100341351134,0.98196617809099]",SFT-1=0.856533985944532;SFT-2=0.898560153846959;SFT-3=0.885130901583991;SFT-4=0.931236599657518;SFT-5=0.916845841568789;SFT-6=0.917533259721062,SFT-4 > SFT-6 > SFT-5 > SFT-2 > SFT-3 > SFT-1,SFT-4,YES,NO,0.333333333333333,0.866666666666667,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
S18,SOURCE_DEFINED_EQ31,EU,0.25,EIS=0.0279757709251101;SR=0.0559515418502203;CMI=0.0129118942731278;CS=0.0333557268722467;EU=0.023;RS=0.0731674008810573;SFR=0.0139878854625551;QSS=0.034431718061674;F=0.0527235682819383;IC=0.0677874449339207;PC=0.326025330396476;MSC=0.17215859030837,EIS=0.033302752293578;SR=0.0677155963302752;CMI=0.0144311926605505;CS=0.0444036697247706;EU=0.032;RS=0.104348623853211;SFR=0.0199816513761468;QSS=0.0477339449541284;F=0.083256880733945;IC=0.071045871559633;PC=0.385201834862385;MSC=0.210917431192661,"SFT-1=[0.798606946365497,0.915630958161629];SFT-2=[0.831081119488024,0.964955680731573];SFT-3=[0.830784587087661,0.939867012332341];SFT-4=[0.86274577040228,0.999994649842321];SFT-5=[0.846922268602362,0.986769973534825];SFT-6=[0.854320376668309,0.983177982413429]",SFT-1=0.857118952263563;SFT-2=0.898018400109798;SFT-3=0.885325799710001;SFT-4=0.931370210122301;SFT-5=0.916846121068593;SFT-6=0.918749179540869,SFT-4 > SFT-6 > SFT-5 > SFT-2 > SFT-3 > SFT-1,SFT-4,YES,NO,0.333333333333333,0.866666666666667,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
S19,SOURCE_DEFINED_EQ31,EU,0.15,EIS=0.0282392070484581;SR=0.0564784140969163;CMI=0.0130334801762115;CS=0.0336698237885463;EU=0.0138;RS=0.0738563876651982;SFR=0.0141196035242291;QSS=0.0347559471365639;F=0.0532200440528634;IC=0.0684257709251101;PC=0.329095374449339;MSC=0.173779735682819,EIS=0.033743119266055;SR=0.0686110091743119;CMI=0.0146220183486239;CS=0.0449908256880734;EU=0.0192;RS=0.105728440366972;SFR=0.020245871559633;QSS=0.0483651376146789;F=0.0843577981651376;IC=0.0719853211009174;PC=0.390295412844037;MSC=0.213706422018349,"SFT-1=[0.799031994218537,0.916395221052432];SFT-2=[0.830108219534277,0.96483939077813];SFT-3=[0.831185044814551,0.939871381910943];SFT-4=[0.863032519831955,0.999994497210404];SFT-5=[0.846631978030536,0.987074933536468];SFT-6=[0.855570771331378,0.98440976569938]",SFT-1=0.857713607635485;SFT-2=0.897473805156204;SFT-3=0.885528213362747;SFT-4=0.931513508521179;SFT-5=0.916853455783502;SFT-6=0.919990268515379,SFT-4 > SFT-6 > SFT-5 > SFT-2 > SFT-3 > SFT-1,SFT-4,YES,NO,0.333333333333333,0.866666666666667,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
S20,SOURCE_DEFINED_EQ31,EU,0.05,EIS=0.0285026431718062;SR=0.0570052863436123;CMI=0.0131550660792952;CS=0.0339839207048458;EU=0.0046;RS=0.0745453744493392;SFR=0.0142513215859031;QSS=0.0350801762114537;F=0.0537165198237885;IC=0.0690640969162996;PC=0.332165418502203;MSC=0.175400881057269,EIS=0.0341834862385321;SR=0.0695064220183486;CMI=0.0148128440366972;CS=0.0455779816513762;EU=0.0064;RS=0.107108256880734;SFR=0.0205100917431193;QSS=0.0489963302752294;F=0.0854587155963303;IC=0.0729247706422018;PC=0.395388990825688;MSC=0.216495412844037,"SFT-1=[0.799466390148508,0.917169549697019];SFT-2=[0.829131979854565,0.964719818473425];SFT-3=[0.83160128114368,0.939874798645455];SFT-4=[0.863338415754563,0.999994341701287];SFT-5=[0.846350606306745,0.987384695590467];SFT-6=[0.856851766747785,0.985662030057292]",SFT-1=0.858317969922763;SFT-2=0.896925899163995;SFT-3=0.885738039894567;SFT-4=0.931666378727925;SFT-5=0.916867650948606;SFT-6=0.921256898402539,SFT-4 > SFT-6 > SFT-5 > SFT-2 > SFT-3 > SFT-1,SFT-4,YES,NO,0.333333333333333,0.866666666666667,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
S21,SOURCE_DEFINED_EQ31,MSC,0.95,EIS=0.026247619047619;SR=0.0524952380952381;CMI=0.0121142857142857;CS=0.0312952380952381;EU=0.0928761904761905;RS=0.0686476190476191;SFR=0.0131238095238095;QSS=0.0323047619047619;F=0.0494666666666667;IC=0.0636;PC=0.305885714285714;MSC=0.152,EIS=0.0303518518518518;SR=0.0617154320987654;CMI=0.0131524691358025;CS=0.0404691358024691;EU=0.129501234567901;RS=0.0951024691358025;SFR=0.0182111111111111;QSS=0.0435043209876543;F=0.0758796296296296;IC=0.0647506172839506;PC=0.35106975308642;MSC=0.1805,"SFT-1=[0.794772516494415,0.909694687188291];SFT-2=[0.837108084421058,0.96496334792845];SFT-3=[0.826989224250597,0.939128953304899];SFT-4=[0.860045891974477,0.999995842268146];SFT-5=[0.847942590972905,0.984164867535887];SFT-6=[0.844357486204834,0.973555004457924]",SFT-1=0.852233601841353;SFT-2=0.901035716174754;SFT-3=0.883059088777748;SFT-4=0.930020867121312;SFT-5=0.916053729254396;SFT-6=0.908956245331379,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4,YES,YES,0,1,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
S22,SOURCE_DEFINED_EQ31,MSC,0.85,EIS=0.0267428571428571;SR=0.0534857142857143;CMI=0.0123428571428571;CS=0.0318857142857143;EU=0.0946285714285714;RS=0.0699428571428572;SFR=0.0133714285714286;QSS=0.0329142857142857;F=0.0504;IC=0.0648;PC=0.311657142857143;MSC=0.136,EIS=0.0310555555555556;SR=0.0631462962962963;CMI=0.0134574074074074;CS=0.0414074074074074;EU=0.132503703703704;RS=0.0973074074074074;SFR=0.0186333333333333;QSS=0.044512962962963;F=0.0776388888888889;IC=0.0662518518518519;PC=0.359209259259259;MSC=0.1615,"SFT-1=[0.79281248371252,0.908599318524138];SFT-2=[0.83458411291656,0.963342155225161];SFT-3=[0.824344984548588,0.937723828727272];SFT-4=[0.857666500162517,0.999996138294394];SFT-5=[0.844933331371887,0.983206517799916];SFT-6=[0.841268794194023,0.971525069346526]",SFT-1=0.850705901118329;SFT-2=0.89896313407086;SFT-3=0.88103440663793;SFT-4=0.928831319228456;SFT-5=0.914069924585901;SFT-6=0.906396931770275,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4,YES,YES,0,1,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
