scenario_id,branch,reduced_criterion,reduction_factor,affected_weight_records_vs_EQ31,terminal_rough_Y,terminal_Y_crisp,complete_weak_order,winner_set,primary_EQ31_complete_weak_order,primary_EQ31_winner_set,complete_order_changed_vs_primary,winner_set_changed_vs_primary,max_abs_terminal_score_difference_vs_primary,interpretation
S20,SOURCE_AS_PUBLISHED_WORKBOOK,EU,0.05,0,"SFT-1=[0.799466390148508,0.917169549697019];SFT-2=[0.829131979854565,0.964719818473425];SFT-3=[0.83160128114368,0.939874798645455];SFT-4=[0.863338415754563,0.999994341701287];SFT-5=[0.846350606306745,0.987384695590467];SFT-6=[0.856851766747785,0.985662030057292]",SFT-1=0.858317969922763;SFT-2=0.896925899163995;SFT-3=0.885738039894567;SFT-4=0.931666378727925;SFT-5=0.916867650948606;SFT-6=0.921256898402539,SFT-4 > SFT-6 > SFT-5 > SFT-2 > SFT-3 > SFT-1,SFT-4,SFT-4 > SFT-6 > SFT-5 > SFT-2 > SFT-3 > SFT-1,SFT-4,NO,NO,4.44089209850063e-16,SECONDARY_SOURCE_ARTIFACT_AUDIT_ONLY__NOT_PRIMARY_NATIVE_SENSITIVITY
S21,SOURCE_AS_PUBLISHED_WORKBOOK,MSC,0.95,2,"SFT-1=[0.794192150223937,0.909943519999208];SFT-2=[0.837099978914628,0.965676647895997];SFT-3=[0.827066697179938,0.939611275798834];SFT-4=[0.860112898400535,0.999995581665742];SFT-5=[0.848258933009698,0.984577310944094];SFT-6=[0.844764769998947,0.974424007673374]",SFT-1=0.852067835111572;SFT-2=0.901388313405312;SFT-3=0.883338986489386;SFT-4=0.930054240033138;SFT-5=0.916418121976896;SFT-6=0.90959438883616,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4,NO,NO,0.000638143504781197,SECONDARY_SOURCE_ARTIFACT_AUDIT_ONLY__NOT_PRIMARY_NATIVE_SENSITIVITY
S22,SOURCE_AS_PUBLISHED_WORKBOOK,MSC,0.85,2,"SFT-1=[0.791141321718687,0.909432206737086];SFT-2=[0.834620917808341,0.965563940569653];SFT-3=[0.824625587824733,0.939221210256503];SFT-4=[0.857905736563886,0.999995326712549];SFT-5=[0.84593524348887,0.984482674594561];SFT-6=[0.84252896250448,0.974185462777194]",SFT-1=0.850286764227886;SFT-2=0.900092429188997;SFT-3=0.881923399040618;SFT-4=0.928950531638217;SFT-5=0.915208959041715;SFT-6=0.908357212640837,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4,NO,NO,0.0019602808705621,SECONDARY_SOURCE_ARTIFACT_AUDIT_ONLY__NOT_PRIMARY_NATIVE_SENSITIVITY
S23,SOURCE_AS_PUBLISHED_WORKBOOK,MSC,0.75,2,"SFT-1=[0.788131951636329,0.908927150860899];SFT-2=[0.832184704449233,0.965453435587073];SFT-3=[0.822225441659235,0.938836325534966];SFT-4=[0.855741825315077,0.999995062126674];SFT-5=[0.843654108542189,0.984389312342952];SFT-6=[0.840334189067524,0.973949655448581]",SFT-1=0.848529551248614;SFT-2=0.898819070018153;SFT-3=0.880530883597101;SFT-4=0.927868443720876;SFT-5=0.91402171044257;SFT-6=0.907141922258053,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4,NO,NO,0.0033465885905658,SECONDARY_SOURCE_ARTIFACT_AUDIT_ONLY__NOT_PRIMARY_NATIVE_SENSITIVITY
S24,SOURCE_AS_PUBLISHED_WORKBOOK,MSC,0.65,2,"SFT-1=[0.785162077469335,0.908428066259589];SFT-2=[0.829789233907479,0.965345018655283];SFT-3=[0.819864302151586,0.93845642585683];SFT-4=[0.853618926918956,0.999994787728491];SFT-5=[0.841413373114118,0.984297172325787];SFT-6=[0.83817839281171,0.973716503466823]",SFT-1=0.846795071864462;SFT-2=0.897567126281381;SFT-3=0.879160364004208;SFT-4=0.926806857323724;SFT-5=0.912855272719953;SFT-6=0.905947448139266,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4,NO,NO,0.00480110427271019,SECONDARY_SOURCE_ARTIFACT_AUDIT_ONLY__NOT_PRIMARY_NATIVE_SENSITIVITY
S25,SOURCE_AS_PUBLISHED_WORKBOOK,MSC,0.55,2,"SFT-1=[0.782229879918663,0.907934685903121];SFT-2=[0.827432566009664,0.96523858399133];SFT-3=[0.817540364782456,0.938081328842674];SFT-4=[0.851534983065545,0.999994503338282];SFT-5=[0.839211052708286,0.984206206246462];SFT-6=[0.836059679644843,0.973485929816864]",SFT-1=0.845082282910892;SFT-2=0.896335575000497;SFT-3=0.877810846812565;SFT-4=0.925764743201914;SFT-5=0.911708629477374;SFT-6=0.904772804730853,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4,NO,NO,0.00632835242441021,SECONDARY_SOURCE_ARTIFACT_AUDIT_ONLY__NOT_PRIMARY_NATIVE_SENSITIVITY
S26,SOURCE_AS_PUBLISHED_WORKBOOK,MSC,0.45,2,"SFT-1=[0.779333668385612,0.907446760034409];SFT-2=[0.825112908449367,0.965134033503073];SFT-3=[0.815251961519739,0.937710864247219];SFT-4=[0.849488096370191,0.999994208776227];SFT-5=[0.837045315854233,0.984116369037548];SFT-6=[0.833976301549599,0.973257862208939]",SFT-1=0.843390214210011;SFT-2=0.89512347097622;SFT-3=0.876481412883479;SFT-4=0.924741152573209;SFT-5=0.91058084244589;SFT-6=0.903617081879269,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4,NO,NO,0.00793339301961227,SECONDARY_SOURCE_ARTIFACT_AUDIT_ONLY__NOT_PRIMARY_NATIVE_SENSITIVITY
S27,SOURCE_AS_PUBLISHED_WORKBOOK,MSC,0.35,2,"SFT-1=[0.776471868221198,0.906964054566986];SFT-2=[0.822828601955595,0.965031276063528];SFT-3=[0.812997547180177,0.937344872839205];SFT-4=[0.847476514134342,0.999993903862409];SFT-5=[0.83491446871322,0.984027618561517];SFT-6=[0.83192664191025,0.973032232652576]",SFT-1=0.841717961394092;SFT-2=0.893929939009561;SFT-3=0.875171210009691;SFT-4=0.923735208998375;SFT-5=0.909471043637368;SFT-6=0.902479437281413,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4,NO,NO,0.00962187940372183,SECONDARY_SOURCE_ARTIFACT_AUDIT_ONLY__NOT_PRIMARY_NATIVE_SENSITIVITY
S28,SOURCE_AS_PUBLISHED_WORKBOOK,MSC,0.25,2,"SFT-1=[0.773643009488718,0.906486349661498];SFT-2=[0.820578107231773,0.9649302268665];SFT-3=[0.810775687415043,0.936983205406177];SFT-4=[0.845498614050653,0.999993588416802];SFT-5=[0.832816941524199,0.983939915344871];SFT-6=[0.829909202591216,0.972808977077854]",SFT-1=0.840064679575108;SFT-2=0.892754167049137;SFT-3=0.87387944641061;SFT-4=0.922746101233728;SFT-5=0.908378428434535;SFT-6=0.901359089834535,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4,NO,NO,0.0114001270039431,SECONDARY_SOURCE_ARTIFACT_AUDIT_ONLY__NOT_PRIMARY_NATIVE_SENSITIVITY
S29,SOURCE_AS_PUBLISHED_WORKBOOK,MSC,0.15,2,"SFT-1=[0.770845717033247,0.906013438458048];SFT-2=[0.818359993422957,0.964830806853067];SFT-3=[0.808585048098067,0.936625721868136];SFT-4=[0.843552891585716,0.999993262259273];SFT-5=[0.830751276637825,0.98385322234138];SFT-6=[0.827922592527718,0.972588034997872]",SFT-1=0.838429577745647;SFT-2=0.891595400138012;SFT-3=0.872605384983102;SFT-4=0.921773076922495;SFT-5=0.907302249489602;SFT-6=0.900255313762795,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4,NO,NO,0.0132751948416621,SECONDARY_SOURCE_ARTIFACT_AUDIT_ONLY__NOT_PRIMARY_NATIVE_SENSITIVITY
S30,SOURCE_AS_PUBLISHED_WORKBOOK,MSC,0.05,2,"SFT-1=[0.768078701683364,0.905545125944746];SFT-2=[0.816172927906108,0.964732942199963];SFT-3=[0.806424385927748,0.936272290486337];SFT-4=[0.841637948814725,0.999992925209577];SFT-5=[0.828716117925145,0.983767504720753];SFT-6=[0.825965517625578,0.972369349207216]",SFT-1=0.836811913814055;SFT-2=0.890452935053035;SFT-3=0.871348338207042;SFT-4=0.920815437012151;SFT-5=0.906241811322949;SFT-6=0.899167433416397,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4,NO,NO,0.0152549854870121,SECONDARY_SOURCE_ARTIFACT_AUDIT_ONLY__NOT_PRIMARY_NATIVE_SENSITIVITY
