NP_ID,configuration_or_branch,delta,distribution_type,label,count,frequency,note
NP03,A_STRICT_EXPLICIT_DIRECTION,0.05,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys4,0,0.000000000000,
NP03,ERP04_COST_PARALLEL,0.05,EXACT_WINNER_SET,ERPsys1,8,0.000800000000,
NP03,ERP04_COST_PARALLEL,0.05,EXACT_WINNER_SET,ERPsys2,2730,0.273000000000,
NP03,ERP04_COST_PARALLEL,0.05,EXACT_WINNER_SET,ERPsys3,7262,0.726200000000,
NP03,ERP04_COST_PARALLEL,0.05,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys1,8,0.000800000000,
NP03,ERP04_COST_PARALLEL,0.05,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys2,2730,0.273000000000,
NP03,ERP04_COST_PARALLEL,0.05,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys3,7262,0.726200000000,
NP03,ERP04_COST_PARALLEL,0.05,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys4,0,0.000000000000,
NP03,A_STRICT_EXPLICIT_DIRECTION,0.10,EXACT_WINNER_SET,ERPsys3,10000,1.000000000000,
NP03,A_STRICT_EXPLICIT_DIRECTION,0.10,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys1,0,0.000000000000,
NP03,A_STRICT_EXPLICIT_DIRECTION,0.10,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys2,0,0.000000000000,
NP03,A_STRICT_EXPLICIT_DIRECTION,0.10,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys3,10000,1.000000000000,
NP03,A_STRICT_EXPLICIT_DIRECTION,0.10,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys4,0,0.000000000000,
NP03,ERP04_COST_PARALLEL,0.10,EXACT_WINNER_SET,ERPsys1,667,0.066700000000,
NP03,ERP04_COST_PARALLEL,0.10,EXACT_WINNER_SET,ERPsys2,3363,0.336300000000,
NP03,ERP04_COST_PARALLEL,0.10,EXACT_WINNER_SET,ERPsys3,5970,0.597000000000,
NP03,ERP04_COST_PARALLEL,0.10,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys1,667,0.066700000000,
NP03,ERP04_COST_PARALLEL,0.10,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys2,3363,0.336300000000,
NP03,ERP04_COST_PARALLEL,0.10,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys3,5970,0.597000000000,
NP03,ERP04_COST_PARALLEL,0.10,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys4,0,0.000000000000,
NP03,A_STRICT_EXPLICIT_DIRECTION,0.20,EXACT_WINNER_SET,ERPsys3,10000,1.000000000000,
NP03,A_STRICT_EXPLICIT_DIRECTION,0.20,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys1,0,0.000000000000,
NP03,A_STRICT_EXPLICIT_DIRECTION,0.20,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys2,0,0.000000000000,
NP03,A_STRICT_EXPLICIT_DIRECTION,0.20,MARGINAL_TOP_RANK_MEMBERSHIP,ERPsys3,10000,1.000000000000,
